job_description,resume,affinity_score
"Puesto: Desarrollador Full Stack. Ubicación: Bogotá. Experiencia requerida: 0-1 años. Educación: Profesional en Administración. Skills técnicas requeridas: Django, SQL, C++, JavaScript, Docker. Skills blandas: Trabajo en equipo, Gestión del tiempo. Idiomas: Francés.","Experiencia: 0-1 años. Educación: Tecnólogo. Skills: Docker, Agile, Tableau, SEO, SAP, Content creation. Idiomas: Inglés avanzado, Inglés intermedio, Portugués.",4.04
"Puesto: Gerente de Proyectos. Ubicación: Remoto. Experiencia requerida: 8+ años. Educación: Profesional en Diseño. Skills técnicas requeridas: AWS, C++, Keras. Skills blandas: Gestión del tiempo, Resolución de problemas. Idiomas: Portugués.","Experiencia: 8+ años. Educación: Profesional en Ingeniería. Skills: Django, SAP, React, Branding, PostgreSQL, Trabajo en equipo, Video editing, Tableau. Idiomas: Español nativo, Francés, Inglés básico.",5.32
"Puesto: Diseñador UX/UI. Ubicación: Híbrido. Experiencia requerida: 1-3 años. Educación: Profesional en Diseño. Skills técnicas requeridas: Machine Learning, Kubernetes, Keras. Skills blandas: Comunicación efectiva, Resolución de problemas, Creatividad. Idiomas: Inglés intermedio.","Experiencia: 8+ años. Educación: Profesional en Ingeniería. Skills: Trabajo en equipo, TensorFlow, UX/UI, Git, Creatividad, Negociación, SAP, MongoDB. Idiomas: Inglés intermedio, Español nativo, Inglés básico.",6.13
"Puesto: Desarrollador Backend. Ubicación: Medellín. Experiencia requerida: 5-8 años. Educación: Profesional en Administración. Skills técnicas requeridas: Node.js, PostgreSQL, TensorFlow, Azure, Git. Skills blandas: Pensamiento crítico, Creatividad. Idiomas: Inglés avanzado.","Experiencia: 1-3 años. Educación: Técnico. Skills: Git, Content creation, Liderazgo, Tableau, PowerBI, Excel avanzado, Figma, Illustrator, Negociación. Idiomas: Francés.",1.9
"Puesto: Especialista en Marketing Digital. Ubicación: Medellín. Experiencia requerida: 3-5 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: JavaScript, AWS, PostgreSQL, Kubernetes, Machine Learning, Git. Skills blandas: Gestión del tiempo, Trabajo en equipo, Creatividad, Resolución de problemas. Idiomas: Portugués.","Experiencia: 3-5 años. Educación: Profesional en Ingeniería. Skills: JavaScript, Scrum, Branding, Negociación, Figma, Video editing, Tableau. Idiomas: Inglés intermedio.",5.69
"Puesto: DevOps Engineer. Ubicación: Barranquilla. Experiencia requerida: 0-1 años. Educación: Profesional en Administración. Skills técnicas requeridas: TensorFlow, Git, Python. Skills blandas: Trabajo en equipo, Resolución de problemas, Creatividad, Comunicación efectiva. Idiomas: Inglés intermedio.","Experiencia: 3-5 años. Educación: Maestría. Skills: Trabajo en equipo, TensorFlow, Gestión de proyectos, SQL, Liderazgo, PowerBI, APIs REST, PostgreSQL, React. Idiomas: Inglés nativo.",6.41
"Puesto: Product Manager. Ubicación: Barranquilla. Experiencia requerida: 3-5 años. Educación: Profesional en Ingeniería. Skills técnicas requeridas: Keras, Kubernetes, APIs REST, PostgreSQL, C++. Skills blandas: Comunicación efectiva, Gestión del tiempo, Trabajo en equipo. Idiomas: Francés.","Experiencia: 0-1 años. Educación: Profesional en Diseño. Skills: PostgreSQL, Illustrator, Adobe Photoshop, SEO, Negociación. Idiomas: Inglés nativo.",2.21
"Puesto: Diseñador UX/UI. Ubicación: Medellín. Experiencia requerida: 0-1 años. Educación: Maestría. Skills técnicas requeridas: PostgreSQL, Azure, Git, Django, MongoDB, AWS, Node.js. Skills blandas: Comunicación efectiva, Trabajo en equipo. Idiomas: Portugués.","Experiencia: 0-1 años. Educación: Profesional en Ingeniería. Skills: PostgreSQL, Adobe Photoshop, PowerBI, Análisis financiero, Figma. Idiomas: Inglés nativo.",4.79
"Puesto: Analista de Datos. Ubicación: Bogotá. Experiencia requerida: 0-1 años. Educación: Profesional en Administración. Skills técnicas requeridas: JavaScript, Kubernetes, MongoDB, C++, Java, TensorFlow. Skills blandas: Adaptabilidad, Trabajo en equipo. Idiomas: Portugués.","Experiencia: 5-8 años. Educación: Profesional en Administración. Skills: C++, Adaptabilidad, Trabajo en equipo, Node.js, Docker, Python. Idiomas: Inglés intermedio, Inglés avanzado.",6.59
"Puesto: DevOps Engineer. Ubicación: Cali. Experiencia requerida: 0-1 años. Educación: Doctorado. Skills técnicas requeridas: Node.js, Deep Learning, Azure, Java, APIs REST, Keras. Skills blandas: Resolución de problemas, Trabajo en equipo. Idiomas: Francés.","Experiencia: 0-1 años. Educación: Bachiller. Skills: Azure, Node.js, Illustrator, Branding, Negociación, Agile, SEO, Marketing digital, Adobe Photoshop, Video editing. Idiomas: Español nativo, Inglés avanzado, Inglés nativo.",5.7
